"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_1034","copS",2.18692057910869,6.05733046056952,75.2722107108169,4.1353766222756e-10,3.97181502533937e-08
"SL1344_4149","SL1344_4149",3.21344639565901,7.00487886624581,96.7137560006228,4.15613037228414e-10,3.97181502533937e-08
"SL1344_P2_0032","SL1344_P2_0032",5.05155665320872,4.7362633059139,78.0459452870006,4.32473802994992e-10,4.04501029354465e-08
"SL1344_3781","ccmF1",3.62763793134055,4.32934669338076,74.6748752646761,4.54227920536236e-10,4.15997070557769e-08
"SL1344_1484","SL1344_1484",3.23071005088941,5.5224702259408,78.358129568808,5.02584898667894e-10,4.50890451947768e-08
"SL1344_P1_0088","pefC",3.54903984594771,7.41816238565938,101.117540262141,5.14249351972716e-10,4.52128030254412e-08
"SL1344_2894","hyi",2.77059465382024,4.77456910765028,73.3574627300624,5.59731871601194e-10,4.77016576602561e-08
"SL1344_2977","comO",3.50393718761708,5.30003005061375,77.3937467126545,5.64259826736423e-10,4.77016576602561e-08
"SL1344_2442","aegA",2.94576720361514,5.10075065829122,72.8071895837185,6.1122905442547e-10,5.06974136463088e-08
"SL1344_2624","yfiA",1.46943292728641,7.81258083500768,70.5669880507313,8.78858468241466e-10,7.1545589377583e-08
"SL1344_2002","cbiJ",4.41598760006445,6.69742496928511,97.0073934265128,9.89593725871632e-10,7.90955276169399e-08
"SL1344_2093","wzc",3.82256236581631,6.55741491112261,91.2889329414975,1.13778149758541e-09,8.93158475604546e-08
"SL1344_3228","SL1344_3228",2.92418445460638,5.53063197037078,71.2918151412079,1.23492075299174e-09,9.52405549149418e-08
"SL1344_2461","upp",-0.954309813183889,8.97455487092243,67.4032011948404,1.4881118189788e-09,1.07241632069357e-07
"SL1344_2510","asrA",4.00939523457641,4.95842691536409,70.8440258452971,1.48677133425705e-09,1.07241632069357e-07
"SL1344_3430","yheU",2.44811341796303,6.11707913272956,71.6072123872747,1.42102487274952e-09,1.07241632069357e-07
"SL1344_3796","dgoK",3.09502473601247,6.1242383170725,78.7030399128192,1.46419282842884e-09,1.07241632069357e-07
"SL1344_4413","idnO",3.38907664909803,5.75879740525806,76.856900361079,1.61476026096431e-09,1.12674382653954e-07
"SL1344_P2_0052","trbA",3.05909715131017,7.18314077525041,87.7400851889264,1.59640886347406e-09,1.12674382653954e-07
"SL1344_1502","yddG",4.62186447212581,8.87581986348446,99.2850581629615,1.7201367314421e-09,1.18151891740929e-07
"SL1344_0417","ispA",1.72021341492643,7.89084070420536,69.9091756095645,1.84817504559218e-09,1.23099659097322e-07
"SL1344_1675","oppC",2.16405142704309,5.99027665978006,66.2061014925076,1.82424797198335e-09,1.23099659097322e-07
"SL1344_1720","appC",3.24577785315194,5.16011089733494,67.1817389186655,1.99623440600866e-09,1.30976812668867e-07
"SL1344_1509","narY",3.35412573278754,5.16054114912801,67.8997237771098,2.04390946542179e-09,1.32132735441091e-07
"SL1344_2939","barA",3.85852384623526,9.72462559200116,94.2091845191108,2.07884636369707e-09,1.32443603113222e-07
"SL1344_0440","bolA",-1.40221692577526,7.67567133290742,64.5717618508383,2.41879394256052e-09,1.47680807937445e-07
"SL1344_1015","helD",3.07058541509434,8.85451848359894,88.1622518640328,2.41229557015076e-09,1.47680807937445e-07
"SL1344_2517","glyA",1.82006842668857,9.12228284918398,70.5584268585556,2.35810554891492e-09,1.47680807937445e-07
"SL1344_0708","SL1344_0708",3.59324373267173,4.86015581909914,66.0814597047601,2.45240991462654e-09,1.47682109379428e-07
"SL1344_0920","rec2",2.14409217677308,5.98791502608647,64.1615143531514,2.59823648164689e-09,1.54349291531347e-07
"SL1344_0767","hutU",4.16139027706001,6.60222744714734,84.9752704771552,2.91328694355629e-09,1.68510650050967e-07
"SL1344_1845","SL1344_1845",2.5550158773732,6.35743483823932,71.0360469183478,2.8916200385056e-09,1.68510650050967e-07
"SL1344_3461","nudE",1.43887748751688,7.56943753270227,63.265992379413,3.04079207356282e-09,1.73601583836132e-07
"SL1344_0354","SL1344_0354",2.81873219140885,5.1355832998346,62.9637347673233,3.20765452228232e-09,1.80780118973757e-07
"SL1344_2081","cpsG",3.91969842333469,4.70191338746838,62.5546938657727,3.44907954792622e-09,1.89526921158546e-07
"SL1344_3350","SL1344_3350",2.52126262253586,7.04139181128606,74.4994117042275,3.42000477969222e-09,1.89526921158546e-07
"SL1344_3048","SL1344_3048",3.67479106387434,4.47072267258474,62.2450782194253,3.64459633294959e-09,1.97798092341314e-07
"SL1344_0533","ybcI",3.10235875370157,5.59871481901298,67.7334637294508,3.75227929764536e-09,1.98078332359367e-07
"SL1344_0698","SL1344_0698",3.75937454297798,4.28761877796699,62.03350172261,3.78493628712167e-09,1.98078332359367e-07
"SL1344_4320","sgaU",3.44136056989879,5.37554377351608,66.9323729029648,3.74590800216348e-09,1.98078332359367e-07
"SL1344_2494","SL1344_2494",1.95163248535239,8.58196477498069,70.5757479003558,3.91170053064006e-09,2.02303947443455e-07
"SL1344_3537","rsmD",1.48150618142153,6.73916407602994,61.3411806472126,4.28561065618174e-09,2.19064470285755e-07
"SL1344_4012","sbp",2.24691390091772,6.19091879678946,64.4132301678503,4.35367353768082e-09,2.19985619214309e-07
"SL1344_0003","thrB",2.36310303169035,8.15868573992438,74.9718406019082,4.83130491453032e-09,2.41345640957674e-07
"SL1344_0083A","SL1344_0083A",2.75763116608846,5.15666694036354,60.2573967959407,5.2153823286869e-09,2.57604727156265e-07
"SL1344_2181","fruA",3.29871407674365,7.45653473595532,81.3664712693244,5.51737347787605e-09,2.63634497921121e-07
"SL1344_4048","metJ",-1.31480792265576,7.62711160875883,59.9978366149728,5.46836999494607e-09,2.63634497921121e-07
"SL1344_4378","SL1344_4378",2.50137362044607,7.092698893751,72.7202749290693,5.42558393141869e-09,2.63634497921121e-07
"SL1344_2474","shdA",3.66494242703542,9.08797263520326,84.6652164043825,5.60366366369241e-09,2.6487855339346e-07
"SL1344_1544","SL1344_1544",3.30352459968249,5.112331064645,61.5376682547447,6.03667293382913e-09,2.82310789543754e-07
