"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_2327",-0.0574637486831056,4.92307962507276,0.0373975528259881,0.847817099304727,0.999859526335336,"SL1344_2327"
"SL1344_2328",0.433132446882476,4.46802883409947,1.35872677291895,0.251930791871831,0.999859526335336,"SL1344_2328"
"SL1344_2330",0.0908416358900972,5.28018964631642,0.0931088049030237,0.762135616597732,0.999859526335336,"SL1344_2330"
"SL1344_2331",-0.0710797147671511,6.9110685012606,0.198806316536552,0.658533644056034,0.999859526335336,"purF"
"SL1344_2332",0.13794356310275,6.14774388992528,0.62547893599339,0.434541577656234,0.999859526335336,"cvpA"
"SL1344_2333",0.130890750108062,7.6993224791808,0.771199764765312,0.386055796446217,0.999859526335336,"dedD"
"SL1344_2334",0.104095441532945,7.29903235832167,0.437107169659541,0.513010644581912,0.999859526335336,"folC"
"SL1344_2335",0.0263908916872826,8.91509385617944,0.0394845989901799,0.843683970945154,0.999859526335336,"accD"
"SL1344_2336",-0.116342254212194,6.31634565118893,0.220615783315719,0.641843902994216,0.999859526335336,"dedA"
"SL1344_2337",-0.23746063698348,6.68567080540292,1.65404833444542,0.207162946638713,0.999859526335336,"truA"
"SL1344_2338",-0.0515161462954285,7.11078403696244,0.104574761773621,0.748402714016869,0.999859526335336,"usg"
"SL1344_2340",0.145577747038908,6.54610716391695,0.868839855294518,0.357897616691985,0.999859526335336,"div"
"SL1344_2341",0.0713373042821889,6.81932582736748,0.240033716816308,0.627351730141629,0.999859526335336,"SL1344_2341"
"SL1344_2342",-0.308682658890816,3.39071711495479,0.113653809524881,0.738109815440423,0.999859526335336,"SL1344_2342"
"SL1344_2346",0.173969277674829,5.5353411188997,0.513871102285739,0.478400032642186,0.999859526335336,"SL1344_2346"
"SL1344_2348",0.0146707317683967,6.95340709029572,0.0115857310217,0.914920999474337,0.999859526335336,"mnmC"
"SL1344_2349",-0.0213730943295194,5.98453650140762,0.0100167828544799,0.92086993512102,0.999859526335336,"yfcL"
"SL1344_2350",-0.0927941608962016,5.52526075951658,0.181808398672696,0.672531304054748,0.999859526335336,"yfcM"
"SL1344_2351",0.165421497719662,5.82209433529184,0.645750131553302,0.427260301657718,0.999859526335336,"yfcA"
"SL1344_2352",0.211390426356622,6.02444731744305,1.19391275448307,0.282280580462146,0.999859526335336,"mepA"
"SL1344_2353",-0.0840706602173562,7.8536670675072,0.118723770639266,0.732997084575682,0.999859526335336,"aroC"
"SL1344_2354",0.157903377468917,7.11848588396795,1.16448516345564,0.288189770874543,0.999859526335336,"yfcB"
"SL1344_2355",0.0113939499347395,5.97704089507428,0.00262165727650596,0.959466327993715,0.999859526335336,"yfcN"
"SL1344_2356",0.00436952070158085,8.0115887900392,0.00129658559882018,0.971488024363226,0.999859526335336,"sixA"
"SL1344_2357",-0.0915474955285608,5.44540271794665,0.151631501405051,0.699427552993965,0.999859526335336,"fadJ"
"SL1344_2358",0.403115270021696,4.16995319466188,0.981689423116674,0.328833210132295,0.999859526335336,"fadI"
"SL1344_2360",-0.0290378350506076,8.11608435318598,0.0360620800223447,0.850524981505556,0.999859526335336,"fadL"
"SL1344_2361",0.128085052672165,8.33573890180284,0.676374859536942,0.416611064054498,0.999859526335336,"vacJ"
"SL1344_2362",0.512999065365208,4.44613663443911,1.83665645305813,0.184345349011479,0.999859526335336,"yfdC"
"SL1344_2363",-0.166352341092799,5.53669574424634,0.6170821607742,0.437614291047404,0.999859526335336,"pgtE"
"SL1344_2365",-0.0629520488627471,6.02404967913643,0.0964430670589965,0.758050527550936,0.999859526335336,"pgtB"
