"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_0883","clpS",-0.0395263733008965,5.94843672415584,0.0445751801735657,0.834056869291489,0.884136483579789
"SL1344_3331","mdh",-0.0285841339166991,7.42327726445026,0.0444625554248967,0.83426345875471,0.884142276925194
"SL1344_3756","uhpA",-0.028383475617363,7.16819386643954,0.043809059538656,0.835467613269968,0.885205019989101
"SL1344_2472","guaB",0.026052637362068,7.94866517678146,0.0431182935294613,0.836750691611519,0.886350853090178
"SL1344_0852","rimK",0.0361020123874373,6.76076213873653,0.0428951569686766,0.837167452419999,0.886418122068645
"SL1344_1546","SL1344_1546",-0.0865740107643287,3.80260711068487,0.0428684124030827,0.837217480170386,0.886418122068645
"SL1344_2796","proX",0.0498973835812298,5.66716122838097,0.041852954480846,0.839129166754319,0.888228224669392
"SL1344_1541","rimL",0.0791463129576427,3.90793381268049,0.0416999136028372,0.839419368904478,0.888321508354378
"SL1344_2370","yfdZ",-0.0428089659177192,7.42832900630788,0.0412818015092416,0.840316863047737,0.889057263527762
"SL1344_2913","cysN",0.0504266745182535,4.9500700882812,0.0393056683965881,0.844033798528308,0.892774922601165
"SL1344_4334","ytfG",-0.0757085784620739,3.88236461248658,0.0391387018384666,0.844360983182957,0.892906153974568
"SL1344_1229","ansA",-0.0463511286767631,5.41914616133088,0.0383385768079475,0.845939061968884,0.894359816357675
"SL1344_0938","SL1344_0938",-0.0665368320110157,4.12499307222729,0.0378132508058677,0.846984483513922,0.895249769061602
"SL1344_0142","pilC",0.0830876765357291,4.13783147537709,0.0371400009683221,0.848335371732963,0.896462089937045
"SL1344_2096","yegH",0.044076211119211,5.86176756315612,0.0368634457140679,0.848893966267597,0.896836788202921
"STnc1160","STnc1160",-0.0526071045365709,10.2097441776025,0.0367064220931325,0.849638589242329,0.897407793923421
"SL1344_0580","fepD",0.0358299329016299,6.64211205459353,0.0361146512044837,0.850417411022037,0.898014638206312
"SL1344_1084","SL1344_1084",-0.0583433652302107,5.06443512323223,0.0358536604507733,0.850952249228746,0.898363613739089
"SL1344_0051","SL1344_0051",0.0400632719774425,6.07121643455713,0.0356250986301092,0.851422292295124,0.898576313991865
"SL1344_1166","SL1344_1166",0.0696922269914314,3.73718669050065,0.0355570491200614,0.851562539601936,0.898576313991865
"SL1344_1847","flhE",0.0677365659684655,4.4714832426221,0.0334093338139491,0.856062559021833,0.903107993630904
"SL1344_P1_0044A","SL1344_P1_0044A",-0.0965108385379465,3.23996713695077,0.0329545433019459,0.857034503014203,0.903916428802888
"SL1344_3819","yieH",-0.0314174103539642,5.85784216506924,0.0410541395885377,0.858970527033989,0.905741049854022
"SL1344_1219","yeaH",-0.0340728696890251,5.74796526623636,0.0317018146090794,0.859748166921891,0.906343631124373
"SL1344_0467","ybaJ",-0.0274245839414812,6.79330593401227,0.0310302120871717,0.861225820901554,0.907683699036978
"SL1344_3731","SL1344_3731",-0.0513950239150597,5.0044920806858,0.0305147599853698,0.862371141905,0.908672948181778
"SL1344_P3_0012","SL1344_P3_0012",0.0379097933570719,6.03731888689199,0.0301472069924241,0.863193940775992,0.909104112039114
"SL1344_P3_0014","aph(3'')-Ib",-0.0200750685535861,10.5361020862881,0.0301794797440857,0.863121489063438,0.909104112039114
"SL1344_2303","yfbT",-0.0387754149779821,6.41977825924587,0.0299539168275774,0.86362871281592,0.909344148871565
"SL1344_2317","yfcF",0.0488411355511402,5.24774514828804,0.0292919481533059,0.86512875486292,0.910705461297269
"SL1344_1674","oppD",-0.0479884790980253,4.63477827201502,0.0303311332499579,0.865359484130981,0.910730259094994
"SL1344_4070","argE",-0.0325590560374104,5.89663711239128,0.0286542004900094,0.866590516521514,0.911807542036519
"SL1344_0398","yajB",-0.0304475179398005,6.49532477848389,0.0282771293998006,0.867462677438806,0.911852207082972
"SL1344_2648","rimM",-0.0282187070645376,10.0072284355074,0.0284949392673715,0.866958160890649,0.911852207082972
"SL1344_3714","yicH",-0.0268732962519304,7.06632793149861,0.0284531464040729,0.867054812110651,0.911852207082972
"SL1344_4252","SL1344_4252",-0.0689063225645261,3.99757406078055,0.0283441061005923,0.867307325951812,0.911852207082972
