"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_3695",0.630026770676821,6.78509307930871,8.9022702723089,0.00526255811161166,0.0177682069574845,"radC"
"SL1344_2762",-0.80299735866086,6.94843822970608,9.20868117479991,0.00529892805626242,0.017877273779992,"iroN"
"SL1344_P2_0012",-0.569640920204672,7.2589802285973,8.88439711421328,0.0053033398348183,0.0178784370505071,"cib"
"SL1344_1628",-1.16059830424245,4.26061846106028,8.88225754548392,0.00530824444514205,0.0178812586826394,"steC"
"SL1344_1366",0.385393008331741,7.79289284026113,8.87361494676476,0.00532810580462135,0.0179344204572094,"rnt"
"SL1344_4011",0.392954841827147,9.05989381324197,8.83555882741785,0.00541651573642893,0.0182180590492284,"pfkA"
"SL1344_3458",-1.83792815769265,3.64164231852806,8.82383470361325,0.00544406895548982,0.0182967332785423,"comB"
"SL1344_1571",-0.399731961124348,7.56672035324466,8.82046874827432,0.00545200716613374,0.018309414440278,"hrpA"
"SL1344_0672",-1.06578787243371,4.10025784568658,8.81105173202222,0.00547428219353753,0.0183701866586191,"SL1344_0672"
"SL1344_3001",0.786560030992118,6.18742175027683,8.86583554435051,0.00550415913573052,0.0184449694347172,"yohL"
"SL1344_4273",0.673680506808637,7.23617722248014,8.95807719037717,0.00550495903056165,0.0184449694347172,"ecnB"
"SL1344_1539",-0.61311308013474,5.53969476550349,8.79471710197285,0.00551315225727982,0.0184583528735736,"tehA"
"SL1344_P1_0045",-1.13569572613892,4.18268691680577,8.77724723847738,0.00555505194523578,0.0185844812414433,"SL1344_P1_0045"
"SL1344_3688",0.52206460118856,7.1257095880524,8.76643090384185,0.00558116512755927,0.018657644030989,"rfaG"
"SL1344_1030",-1.35663779802551,6.09593464140122,9.40468939417129,0.00558676297181886,0.0186621656718204,"sopB"
"SL1344_P1_0060",0.534044145936074,6.4040316215969,8.71679997121672,0.00570268765808216,0.0190349392140692,"SL1344_P1_0060"
"SL1344_2320",-0.82719624184783,5.30801054527523,8.71088294286979,0.00571736416082523,0.019054990789225,"hisP"
"SL1344_4288",-0.515798670674391,6.34762160219442,8.71122770272924,0.00571650791192208,0.019054990789225,"SL1344_4288"
"SL1344_3319",0.407194531205449,8.12966209934515,8.6917322573923,0.00576514401375132,0.0191996765791294,"yhcB"
"SL1344_1021",-0.846427961646549,4.87776469973129,8.68006749637046,0.00579445695845214,0.0192535395233224,"SL1344_1021"
