"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_2547","SL1344_2547",0.686554077791836,4.22026868890927,3.99726943766389,0.0536778452647363,0.8804768947156
"SL1344_3510","yhhW",0.598102006191692,4.89332285406409,3.96597777473947,0.0545723836439629,0.89182229925227
"SL1344_0064","citG2",0.742152664738762,4.38336460785527,3.88403925842396,0.0569941914022533,0.913217256976641
"SL1344_0372","yaiW",0.439375583647444,5.24873672191258,3.75670925516007,0.0609982939006346,0.913217256976641
"SL1344_0639","SL1344_0639",-0.663187597441731,4.70295056280799,3.72289109175185,0.0621137306269371,0.913217256976641
"SL1344_0660","ubiF",0.321420473373864,6.34661196582683,3.79633713469324,0.0597195339071861,0.913217256976641
"SL1344_0840","deoR",0.261951580642614,7.11291695975306,3.75497188158688,0.0610550513057872,0.913217256976641
"SL1344_1062","putA",0.35780975741783,6.43754319064763,3.73390686839824,0.0617479162975397,0.913217256976641
"SL1344_1492","hdeB",-0.589018796590458,5.33621783577124,3.76454438525624,0.0607430610773174,0.913217256976641
"SL1344_1559","steB",0.733493451251291,4.15259179089241,3.79322142376389,0.0598189866560381,0.913217256976641
"SL1344_1648","sohB",0.30624658033242,6.41024751129649,3.78358247049642,0.0601278292461952,0.913217256976641
"SL1344_1797","pagM",0.67016147812262,4.59137397670949,3.81087596145895,0.0592578847933178,0.913217256976641
"SL1344_1824","yebA",0.36949654098257,6.20317306978742,3.86812603623461,0.0574782449211479,0.913217256976641
"SL1344_1849","flhB",-0.365581791649498,7.74812064356881,3.794799377569,0.060043703290908,0.913217256976641
"SL1344_2023","pduL",2.55355404800565,3.52807425766282,3.86547721403702,0.0575592604724204,0.913217256976641
"SL1344_2307","pta",-0.273433278110642,9.42411627284908,3.82842440841986,0.0587059535453478,0.913217256976641
"SL1344_2349","yfcL",-0.428087818502567,5.98453650140762,3.74840160705581,0.0612702250010917,0.913217256976641
"SL1344_2431","eutQ",-1.57380666241568,3.13504180207217,4.17193728924616,0.0594736128962986,0.913217256976641
"SL1344_2497","sseBb",-0.380443062989704,6.41864587845462,3.73465733791096,0.061723082051278,0.913217256976641
"SL1344_2514","SL1344_2514",0.717894309310046,4.25067028386957,3.74022436741896,0.0615392072473449,0.913217256976641
"SL1344_2576","SL1344_2576",1.28313599572566,3.20751106947696,3.88918334546029,0.0568386873541501,0.913217256976641
"SL1344_2793","nrdF",0.490894567985632,6.66763440557453,3.89307123558493,0.0578528759607184,0.913217256976641
"SL1344_3026","yqfB",0.699670187039109,4.34413617580964,3.91352700005343,0.0561091533234614,0.913217256976641
"SL1344_3155","parE",0.232926099654227,8.39145648668174,3.74967257875417,0.0612285353925179,0.913217256976641
"SL1344_3334","SL1344_3334",0.456580169577263,5.57299592515781,3.84513170678614,0.0581857881806234,0.913217256976641
"SL1344_3360","yhdU",-0.380216657365003,6.04788892636192,3.88788139372307,0.0568780003053095,0.913217256976641
"SL1344_3847","kup",-0.220545075303802,8.03332590240091,3.83411831640945,0.0585281004828268,0.913217256976641
"SL1344_4075","udhA",-0.277428313927878,7.59209518837903,3.76840898521744,0.060617608294606,0.913217256976641
"SL1344_P1_0073","SL1344_P1_0073",-0.380686737996973,6.07240421258326,3.72601323334695,0.062009805145543,0.913217256976641
"SL1344_P2_0041","ard",-1.21604261316197,3.73676267765672,3.72399417996186,0.0620769904048878,0.913217256976641
"IsrH-1","IsrH-1",-1.70499318096198,4.1331869654798,3.7322933873653,0.0619747153864822,0.913217256976641
"STnc1210","STnc1210",-0.953450313634753,4.06850598578883,3.81444489303343,0.0591451691649051,0.913217256976641
"SL1344_0339","SL1344_0339",-0.345547671735716,5.94613404355717,3.68213022240621,0.0634884926775812,0.915066930526711
"SL1344_0553","SL1344_0553",1.25914389132655,3.75427133012481,3.69300423815668,0.0631184496520913,0.915066930526711
"SL1344_0839","dacC",0.369402212244982,6.08516627471072,3.69193577267704,0.063154702760691,0.915066930526711
"SL1344_0907","pflA",-0.224566832753334,8.19720875422884,3.68844201847642,0.0632734083324984,0.915066930526711
"SL1344_1743","minD",-0.311037844260709,7.23329259625987,3.69574886859359,0.0630254305018179,0.915066930526711
"SL1344_3159","nudF",0.336596799825408,6.13046942872591,3.68213810278525,0.0634882236332639,0.915066930526711
"SL1344_1685","ychK",0.347134913063783,6.13622488222533,3.67149543507313,0.0638527373396711,0.917309259298021
"SL1344_P1_0073A","SL1344_P1_0073A",-0.782117070065685,4.26042258003327,3.65070849311769,0.0645714502326886,0.924612688022473
"SL1344_1817","purT",0.445733038810533,5.66284863237636,3.62699959996602,0.0654022367498683,0.9331723864138
"SL1344_3149","SL1344_3149",-0.367864488869214,5.66800367541171,3.6155965187154,0.0658060600064327,0.9331723864138
"SL1344_3608","tag",-0.33258140305829,5.69354576132935,3.61933867345248,0.0656732308973778,0.9331723864138
"SL1344_3777","yidQ",0.485418789025947,4.92919998764456,3.60050245168717,0.066344884806363,0.937788146652
"SL1344_1538","tehB",0.358567736878864,5.94096410835455,3.58399947791195,0.0669396540859616,0.94316256205733
"SL1344_2778","ygaE",-0.765362782100379,3.80586049405742,3.57374017649043,0.0673124041075774,0.945384435964569
"SL1344_P2_0071","sogL",0.544757594769561,5.73887448997536,3.56145059393074,0.0677619788826502,0.948667704357103
"SL1344_1259","SL1344_1259",-0.459175888798347,4.92912295038431,3.55544202096997,0.0679830047404982,0.94874059948962
"SL1344_0766","hutC",0.591018007501925,4.69838860082177,3.53786847869252,0.0686340917574697,0.95388152585502
"SL1344_3592","dppF",0.488110695738459,5.63829427576251,3.53381227771507,0.0687853602584261,0.95388152585502
"SL1344_2553","SL1344_2553",0.859784453517794,5.64298650947287,3.54123085845528,0.0690732992745447,0.954862338399051
"SL1344_1233","topB",-0.278563567533773,7.05774062931949,3.498713681091,0.0701099970852587,0.957999891527669
"SL1344_2952","exo",-0.332593411498004,6.2679749671461,3.49708991063211,0.0701719665768675,0.957999891527669
"SL1344_3144","SL1344_3144",-0.94068749839031,3.8858715379034,3.92676329931417,0.0699555305362853,0.957999891527669
"SL1344_3518","yhhA",0.667847705551789,4.20995183990785,3.49793280290393,0.0701397908259623,0.957999891527669
"SL1344_0025","bcfE",-1.96527036388443,5.19369251947733,3.50331090864134,0.0712031359825472,0.961309608850517
"SL1344_3085","mutY",-0.27947391760667,7.25645429670025,3.4680901497347,0.0712891111203978,0.961309608850517
