"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_1392",0.151429782481451,7.67020496119434,0.967146900832785,0.332391082322427,0.50255718655991,"ydgK"
"SL1344_1863",-0.484219223432181,3.82563527548167,0.966920704567244,0.332446837697047,0.50255718655991,"otsB"
"SL1344_2242",-0.280066073780639,4.82078297453379,0.967385605584546,0.332332257630963,0.50255718655991,"SL1344_2242"
"SL1344_3188",0.172882829978526,6.01706913754937,0.964389200940712,0.333071707574212,0.503328713130366,"yqjI"
"SL1344_2488",0.135311493463757,8.65470565774553,0.96213712448405,0.333628960734873,0.503886564810704,"ndk"
"SL1344_3542",0.196898708111335,6.34076275587155,0.961971041517803,0.333670106952675,0.503886564810704,"tcp"
"SL1344_2435",-0.165976177576919,6.42017099043486,0.9597789153393,0.334213849277194,0.504273289567464,"maeB"
"SL1344_3334",0.219432852917658,5.57299592515781,0.959089762369949,0.334385040739117,0.504273289567464,"SL1344_3334"
"SL1344_3684",-0.203978696618834,6.36163434827423,0.959986384054027,0.334162335882733,0.504273289567464,"rfaI"
"SL1344_3912",0.124956623451817,8.42420005021108,0.959100967039296,0.334382256439762,0.504273289567464,"recQ"
"STnc750",0.316378071962678,4.83352775066768,0.957597133535454,0.334756236109948,0.504659949910607,"STnc750"
"SL1344_1006",-0.261879705329542,4.96075027921096,0.956879570147774,0.334934885587536,0.504756173137747,"rmf"
"SL1344_3331",-0.134140928285751,7.42327726445026,0.955853770021109,0.335190503680779,0.504968284503326,"mdh"
"SL1344_1420",0.316188218301618,5.07758186285228,0.95498758672124,0.335406556142207,0.505120664885626,"clcB"
"SL1344_3889",-0.161180784585957,8.44530865635236,0.953996708900739,0.335653946377871,0.505320119272987,"yifK"
"SL1344_1470",0.243304330397923,5.26449298041334,0.953454625574365,0.335789393437008,0.505350966637824,"SL1344_1470"
"SL1344_0228",0.168514786978453,7.61666601468648,0.952909882593292,0.335925580888881,0.50538290677191,"fabZ"
"SL1344_4242",-0.438073432055934,4.99017190889667,0.955890446291321,0.336368662787358,0.505876374140686,"SL1344_4242"
"SL1344_P2_0001",0.178541819494053,7.07000462030006,0.950019394605324,0.336649486581821,0.506125561906185,"repY"
"SL1344_4183",0.138849316479216,7.02343373947523,0.948051287199963,0.337143618482832,0.506695161316421,"alr-b"
"SL1344_4376",-0.432396865513852,3.66481875791443,0.945517855073919,0.337781160093164,0.507360929161417,"SL1344_4376"
"SL1344_4411",-0.251036394991239,5.33708808540693,0.945373910168097,0.337817433952563,0.507360929161417,"idnR"
"SL1344_0244",-0.140945728638062,7.92707977452251,0.943310443502315,0.338338015463652,0.507813580498464,"yaeB"
"SL1344_0469",0.160045909669185,7.74605392564729,0.943263552025173,0.338349858343949,0.507813580498464,"acrA"
"SL1344_2152",-0.317985747682731,4.45580739221808,0.941998454931008,0.338669586643024,0.507946606237711,"SL1344_2152"
"SL1344_2800",0.160691992190324,6.94832426563616,0.94217408601021,0.338625174416239,0.507946606237711,"emrB"
"SL1344_1513",-0.232869272540649,5.17797160310835,0.941520094694111,0.338790591489902,0.507954788604915,"nhoA"
"SL1344_0697",0.167025160859516,6.48940517467243,0.933719176705761,0.340772357154329,0.510403843969483,"fimB"
"SL1344_1437",-0.447597274265704,3.8765712726025,0.933918786506072,0.34072144804978,0.510403843969483,"ydfJ"
"SL1344_P2_0074",0.319765962790228,4.04305698341624,0.948151954332778,0.340649331720606,0.510403843969483,"SL1344_P2_0074"
"SL1344_3948",0.150495059336876,9.64812451641574,0.932730134445582,0.3410247610335,0.510434065203699,"engB"
"MicC",0.353892013616033,4.41154333828194,0.933044973545806,0.340944385918515,0.510434065203699,"MicC"
"SL1344_P1_0044A",-0.538471289929767,3.23996713695077,0.931340417557269,0.341379854956475,0.510791641384841,"SL1344_P1_0044A"
"SL1344_3496",-0.345855729684991,4.67460880979997,0.928333320254235,0.342149970206845,0.511769741078357,"SL1344_3496"
"SL1344_0364",-0.45914156690465,3.66008791143443,0.927050735808354,0.342479171975425,0.51197144994559,"prpC"
"SL1344_0976",-0.694617634618068,3.08861379225049,0.926575466857012,0.342601271136008,0.51197144994559,"SL1344_0976"
"SL1344_3258",0.17023606854521,6.48281687707173,0.926447276679773,0.342634214226552,0.51197144994559,"rbfA"
"SL1344_4427",-0.154548564066183,7.01939329630207,0.925595699494206,0.342853169333502,0.512124543795473,"SL1344_4427"
"SL1344_2217",-0.178913593613431,6.44212616488855,0.922672712435015,0.343606198687293,0.513075016789857,"sspH2"
"SL1344_3236",0.197245480687041,6.25153650028536,0.920979594275942,0.344043436203462,0.51355346198656,"yraL"
"SL1344_4380",0.386177244422347,3.91536914063549,0.919059693644541,0.344540174980256,0.514120369726139,"relE"
"SL1344_3227",-0.691733252385348,3.01442319070627,0.918584869536526,0.344663180716908,0.514129400214296,"SL1344_3227"
"SL1344_2036",0.209571174611993,6.18101069579863,0.917031135440204,0.345066111061234,0.514555842681541,"yeeA"
"SL1344_0192",0.184242983406808,10.3771239301079,0.91616651492102,0.345531193973469,0.514966500385057,"fhuA"
"SL1344_3103",-0.243573787748868,5.4540363579304,0.91506937880691,0.345575790749754,0.514966500385057,"SL1344_3103"
"SL1344_0847",0.26863880917935,5.21876663178479,0.914117236586741,0.345823542491064,0.515161061603089,"ybjM"
"SL1344_0401",0.15489084397597,7.43642587691161,0.909538928047904,0.347018300816071,0.515891934523994,"yajC"
"SL1344_0626",0.203565478630653,6.06422698160772,0.910742460040136,0.346703669744692,0.515891934523994,"rlpA"
"SL1344_0812",0.134194052156689,8.20863676352111,0.911124170336673,0.346603964909876,0.515891934523994,"ybiS"
"SL1344_2713",-0.421812807592693,3.99676919615,0.909924702679085,0.346917407084067,0.515891934523994,"SL1344_2713"
"SL1344_4205",-0.174019604696881,6.24792209019115,0.911636731328529,0.346470143995328,0.515891934523994,"yjcE"
"SL1344_P1_0104",0.255694136306655,4.92624662988144,0.909960645586787,0.346908008823241,0.515891934523994,"SL1344_P1_0104"
"SL1344_0845",-0.314689645263594,4.35151638942037,0.907642492424056,0.347514881379898,0.516280979569461,"SL1344_0845"
"SL1344_1846",-0.256214816679831,5.24623563650755,0.908032159172317,0.347412766505019,0.516280979569461,"SL1344_1846"
"SL1344_1164",0.290907443708313,4.57096311384871,0.9050686397982,0.348190430415503,0.517109841927888,"pepT"
"SL1344_0904",0.395336947488921,3.46841051780281,0.904130872490377,0.348437018160783,0.517301294101588,"dmsC"
"SL1344_2556",-0.33340781688268,4.60216290312279,0.90231517781864,0.348915152363893,0.517836262590032,"SL1344_2556"
"SL1344_1283",0.1448823800668,6.9975967119929,0.900691637297723,0.349343462528075,0.51829694946791,"pps"
"SL1344_3266",-0.173522769708961,6.72323255498545,0.899168092923024,0.349746061229821,0.518544244575479,"folP"
"SL1344_3388",0.218007681887786,10.2601432281899,0.904099022984088,0.349700922832625,0.518544244575479,"rplO"
"SL1344_0164",0.277003279978493,5.07704563095443,0.897397340962253,0.350214800721896,0.519064148338993,"pdxAb"
"SL1344_2557",-0.380049738149965,3.570405455263,0.895298969068691,0.35077140405442,0.519468364243142,"SL1344_2557"
"SL1344_3365",-0.194477487381271,6.51286998799412,0.895078361964737,0.350829993084854,0.519468364243142,"yhdV"
"SL1344_4426",0.224661380119499,5.71579013224207,0.895033037195105,0.350842032174224,0.519468364243142,"SL1344_4426"
"SL1344_2373",-0.261782877076789,5.07023527527485,0.892481493770526,0.35152070311539,0.520221476812716,"SL1344_2373"
"SibD",-0.255586704692921,4.89361101899057,0.892231284599385,0.351587353869559,0.520221476812716,"SibD"
"SL1344_1816",0.234298374758697,5.64490765304698,0.890144886184671,0.352143819306802,0.520869525461878,"yebG"
"SL1344_0010",-0.382162841529152,3.93880729701207,0.88762301956336,0.352818079012693,0.521691313602354,"htgA"
"SL1344_2354",0.1362765078195,7.11848588396795,0.887161328460465,0.352941715346518,0.521698648508168,"yfcB"
"SL1344_1610",0.19395562435378,5.61309553300318,0.886289079041018,0.353175461188218,0.521868681473414,"ycjI"
"SL1344_3930",-0.162678461919578,6.33930202033429,0.884513629792383,0.353651918938531,0.522366314709262,"tatD"
"SL1344_4095",-0.304563791597625,4.31259299810841,0.884148969460206,0.353749890557205,0.522366314709262,"SL1344_4095"
"SL1344_0316",-0.285822641634079,4.89291365574106,0.880075733620063,0.354846825477687,0.523810156077876,"phoE"
"SL1344_0738",-0.324696974753868,4.11349930753248,0.878492141571137,0.355274583182002,0.523866807372437,"SL1344_0738"
"SL1344_1304",-0.19831738000054,7.25217282470223,0.880891961985345,0.355181236614432,0.523866807372437,"sufB"
"SL1344_3486",-0.211836173823726,5.70821767532548,0.879185935312659,0.355087087320926,0.523866807372437,"rtcB"
"SL1344_3763",0.242378747991252,6.28418901020998,0.880221480973138,0.355361878886398,0.523866807372437,"ivbL"
"SL1344_0796",0.157514921054957,6.51094210627826,0.875869346836309,0.355984646877613,0.524608953293324,"rhlE"
"SL1344_3779",-0.450454253070898,3.6039191075543,0.8749931077467,0.356222314606385,0.52478327580753,"ccmH1"
"SL1344_0409",0.15827618438431,6.61238702138417,0.874158123685942,0.356449000541411,0.524941308670032,"nrdR"
"SL1344_0550",0.234676580800614,5.03188067801426,0.869220595629374,0.35779363302579,0.526745080636762,"SL1344_0550"
"SL1344_4272",-0.212881139521602,5.32155360807331,0.868251744403081,0.358058319008089,0.526958275982444,"ecnA"
"SL1344_4074",-0.110930579193798,7.78924588477373,0.867343154057866,0.358306793233868,0.527147477595745,"oxyR"
"SL1344_3169",0.156002603155959,7.3380249346607,0.865978294425609,0.358680502324618,0.527168000073227,"yqiC"
"SL1344_4248",-0.469487733140567,3.60218671236158,0.866360399027942,0.358575823665597,0.527168000073227,"SL1344_4248"
"SL1344_4293",0.133201239587339,7.02328696084896,0.866102850079803,0.358646375201306,0.527168000073227,"mutL"
"SL1344_3196",-0.210369481027754,5.3895086931014,0.864718940489892,0.359025811801115,0.52749915396982,"ygjR"
"SL1344_0180",0.14097522692638,6.64648927831384,0.861987716903525,0.359776318170737,0.528119477758727,"yadE"
"SL1344_2200",0.202351574658028,5.83070208108068,0.86268184461547,0.359585370369798,0.528119477758727,"yejH"
"SL1344_2985",0.315795073956975,4.62696552051453,0.861871054640159,0.359808424906139,0.528119477758727,"ygdR"
"SraF",0.288916821902896,8.54209499503091,0.870878757615797,0.360601307216369,0.529106590962336,"SraF"
"SL1344_0952",-0.273836411777504,5.17512804737062,0.856346309380378,0.36133355119124,0.529650647227973,"SL1344_0952"
"SL1344_1411",-0.219492377856103,5.17529246280856,0.856354663961324,0.361331237971634,0.529650647227973,"tqsA"
"SL1344_3844",0.141611262874661,7.9248355111357,0.856628824493961,0.361255339939826,0.529650647227973,"asnA"
"SL1344_3581",0.147302246205886,7.50154389368584,0.854812861496537,0.361758488592131,0.530096771950335,"yhjL"
"SL1344_0142",-0.422471261331387,4.13783147537709,0.852923921010499,0.362282912077824,0.530178776717066,"pilC"
"SL1344_0452",0.240967596242209,5.43743662760145,0.852883085505311,0.3622942610779,0.530178776717066,"SL1344_0452"
"SL1344_3482",-0.177017641891669,6.70810820300146,0.853642272372324,0.362083350373901,0.530178776717066,"malT"
"GcvB",-0.165647701605913,11.7693821075728,0.852873694567678,0.362296871077813,0.530178776717066,"GcvB"
"SL1344_2662",-0.281480453642811,4.96446175650591,0.850912325786418,0.36284257470398,0.530800651713376,"SL1344_2662"
"SL1344_1275",-0.317037401660037,4.57451975462778,0.847624063865881,0.363760076143995,0.531656926749907,"btuE"
"SL1344_1870",0.134196615389026,6.84660744857177,0.847514416926014,0.363790726948071,0.531656926749907,"tyrP"
"SL1344_4300",-0.188469686854153,6.28335546977581,0.848087519913846,0.363630561756011,0.531656926749907,"nsrR"
"SL1344_3989",0.267008895485393,5.24931786119692,0.845655415307202,0.364310953197471,0.532240262630801,"SL1344_3989"
"SL1344_2811",0.152102511930864,6.72836929277905,0.844056546981151,0.364759229923809,0.532718131144539,"mltB"
"SL1344_3987",0.29429009670645,4.86130738542692,0.842752611722162,0.365125397128173,0.533075803977232,"SL1344_3987"
