"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"phoP",-0.0307723136960196,9.31742258178123,0.0594213214531156,0.808888720056493,0.87237981701596,0.87237981701596
"bglX",0.0509436710091654,6.5926114619774,0.0593910483025946,0.808936425141863,0.87237981701596,0.87237981701596
"ubiA",-0.038965295706,6.61547134272405,0.0591775807393398,0.809273178751384,0.87237981701596,0.87237981701596
"SL1344_1606",0.0597347871461365,4.95436940994464,0.0588251382034102,0.809830583995646,0.872663033801192,0.872663033801192
"SL1344_3622",-0.0971828831092314,3.59196697485576,0.0587605444770959,0.809932934010206,0.872663033801192,0.872663033801192
"nfi",0.0439748745180461,6.31335334698571,0.0586164264544822,0.810161507046678,0.8726954141086,0.8726954141086
"fliY",0.0429430335329233,6.57566197183598,0.0581483706293998,0.810905911533162,0.873283289343405,0.873283289343405
"SL1344_2824",-0.115056215889898,3.77663184346298,0.0579743248703621,0.811183526616928,0.873368303455307,0.873368303455307
"atpE",-0.0413909580941269,8.6417681014518,0.0566469838273405,0.813315407882532,0.875449200061609,0.875449200061609
"SL1344_3094",0.075337693418274,4.53335225780856,0.0562100141915013,0.814023012008965,0.875996367390798,0.875996367390798
"SL1344_2801",0.0857024196614301,4.44944703844252,0.0556436714799888,0.814944458425548,0.876773333147017,0.876773333147017
"yliJ",0.0520372842638395,5.80804971587251,0.0552997554156508,0.815506435086334,0.876979987877859,0.876979987877859
"SL1344_3920",0.0716834477190176,5.11952916643016,0.0552819806345997,0.815535530128455,0.876979987877859,0.876979987877859
"CyaR",-0.081600612823603,4.02000411161657,0.0547743716200869,0.816368516769856,0.87766104175111,0.87766104175111
"rnfC",-0.0284538461611261,8.32076480517696,0.0539335661881612,0.817757297931807,0.878939139781962,0.878939139781962
"rps16",0.0326458933888079,10.2187462397462,0.0537109049037179,0.818126984223767,0.879121540612974,0.879121540612974
"SL1344_1789",0.0856745804685158,4.23083205055105,0.0603807969308849,0.819955137606818,0.880655456857946,0.880655456857946
"dipZ",-0.0446033697295232,6.04203989847591,0.0526960635991299,0.819822260972908,0.880655456857946,0.880655456857946
"fhuD",0.0453879003452402,7.06314616613038,0.052257887189695,0.8205595455352,0.881089341029003,0.881089341029003
"bfd",-0.0719329973402733,8.89927067509782,0.0521505086198166,0.821433210447371,0.881596775665685,0.881596775665685
"mrr",0.0470817057888001,5.54421700711699,0.0528592915570877,0.821399591794468,0.881596775665685,0.881596775665685
"hmpA",0.0544714982622501,4.79884953115603,0.0510504758361721,0.822608175127886,0.88264230848479,0.88264230848479
"glnP",-0.0462545482240019,6.04600985194411,0.0506020256589369,0.823375553101957,0.883250105279698,0.883250105279698
"yejB",-0.0523321218161337,5.71153153316698,0.0500603329308984,0.824307271509686,0.884033853514658,0.884033853514658
"yejH",-0.0467665244590818,5.83070208108068,0.0497184938752219,0.824897969319978,0.884451578812347,0.884451578812347
"sbcC",-0.0371190450303572,6.28791773225452,0.049444575168387,0.825372842994466,0.88452925836267,0.88452925836267
"cigR",-0.0476002133246768,6.96745880329746,0.049483503588201,0.825305271397918,0.88452925836267,0.88452925836267
"IsrI",-0.107562425643191,3.58035860076192,0.0490476524470287,0.82606341938949,0.885053568519668,0.885053568519668
"fepB",0.0555542654419037,7.37711260194315,0.0488908349241106,0.826652988025859,0.885469428694366,0.885469428694366
"sfbC",-0.0752176242081963,4.50691332607902,0.0483120632602536,0.827351019931885,0.886001238397215,0.886001238397215
"yceE",-0.055027460369995,4.98490147804365,0.0480888240247574,0.827743818236365,0.886205997312971,0.886205997312971
"yebB",0.053246617833493,5.17921377455784,0.0475291933582853,0.828732736153799,0.886898632445344,0.886898632445344
"yihP",-0.0603983563190567,5.25153059773843,0.0474944884699698,0.828794263440736,0.886898632445344,0.886898632445344
"SL1344_0958",-0.0642468816450435,4.54869854461965,0.0571724951283681,0.829092213115251,0.887001549976794,0.887001549976794
"phnV",0.0733472305836442,4.35063751915326,0.0468963462959388,0.829858419799715,0.887605258744416,0.887605258744416
"citB2",0.0621523508850096,4.89456642582314,0.0465039394182048,0.830560420845732,0.888135480850296,0.888135480850296
"entC",0.0739684003881767,8.05389797524323,0.0467785768430499,0.83075821138681,0.888135480850296,0.888135480850296
