"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"rplX",-0.23320317424591,10.2102119024869,1.62577650498542,0.210996704077243,0.358161136597304,0.358161136597304
"dppB",0.376002485032455,5.01707348437743,1.62544529710104,0.211042130794852,0.358161136597304,0.358161136597304
"cpxP",0.618428957056157,7.26081840954496,1.66312420639033,0.211383693424833,0.358227724092353,0.358227724092353
"bioF",-0.319343987295471,7.22319925091093,1.63328362527018,0.211847266407559,0.358874983864211,0.358874983864211
"SL1344_2633",0.219180469379938,6.9339364698893,1.61753519502989,0.212130619376463,0.35894003186256,0.35894003186256
"finO",-0.315645894268781,5.54909446945537,1.61765963429474,0.212113442241415,0.35894003186256,0.35894003186256
"resA",0.533295935522368,4.11514071097664,1.61762908383309,0.2121176591555,0.35894003186256,0.35894003186256
"rfaZ",-0.17463706558044,6.78769809334759,1.61680561396751,0.212231362471438,0.358972323749304,0.358972323749304
"ybgS",-0.435091934090223,4.03181143332325,1.64182856397785,0.212500178654674,0.359288763602288,0.359288763602288
"SL1344_2249",0.352686426463552,5.97177566403595,1.61733193894334,0.212797003478076,0.359652298073673,0.359652298073673
"acrA",-0.208787248238546,7.74605392564729,1.60029695378401,0.21452675713865,0.362297204910299,0.362297204910299
"menD",0.314710301104835,5.19327059031656,1.60063337644152,0.214479676019231,0.362297204910299,0.362297204910299
"yeaO",-0.283940791209308,5.56819015472933,1.59400464119706,0.215409694937936,0.363648624787699,0.363648624787699
"rspA",0.95066879880286,3.36289419226835,1.59436525763297,0.215617747034632,0.363765157015226,0.363765157015226
"yegD",-0.156653935637039,7.97523915241908,1.59233861352296,0.215644221833867,0.363765157015226,0.363765157015226
"nagB",-0.215659020826804,6.48901144293886,1.59021711661655,0.215943321190613,0.364129973131544,0.364129973131544
"pgpB",-0.330237351839434,4.85487712527516,1.59189865062248,0.216520368476167,0.364823127566589,0.364823127566589
"SL1344_P2_0022",-0.289214690257175,5.29412245397572,1.5867204922067,0.216437410714187,0.364823127566589,0.364823127566589
"aer",0.283351136856368,5.87998941888784,1.58495697604483,0.216687133067696,0.364964228722448,0.364964228722448
"purT",0.295024146858059,5.66284863237636,1.57774289900802,0.217712392245594,0.366361572006166,0.366361572006166
"wcaA",-0.63878132479485,3.66624601626182,1.57782121584896,0.217701229789429,0.366361572006166,0.366361572006166
"ygaU",-0.458366976932533,3.85778777122712,1.57677696152598,0.217850124937243,0.366361572006166,0.366361572006166
"yraL",-0.258601786672418,6.25153650028536,1.57682386196322,0.21784343493414,0.366361572006166,0.366361572006166
"codB",-0.261023149119166,6.08156418767932,1.57176391640472,0.218566665127535,0.367285573356516,0.367285573356516
"SL1344_P2_0003",-0.400457077998054,4.8821804591748,1.57194973006247,0.218540053896673,0.367285573356516,0.367285573356516
"SL1344_0160",0.312800682768123,4.82423209234728,1.57029612131872,0.21877701568972,0.3673581974683,0.3673581974683
"SL1344_3987",-0.401337044371581,4.86130738542692,1.57047112142138,0.218751923187219,0.3673581974683,0.3673581974683
"StyR-88",-0.369752994792109,4.14611359655707,1.59718926108391,0.218900496144458,0.367425193223,0.367425193223
"apaG",-0.257590137701212,5.58694898896722,1.56757732556633,0.219167309495022,0.367620805853082,0.367620805853082
"gcvR",0.268289318530027,5.84131745269443,1.56745918550433,0.219184288476098,0.367620805853082,0.367620805853082
"potC",-0.26801080051653,6.52900602441927,1.56507920330692,0.219526684099429,0.368054654195687,0.368054654195687
"rfbI",-0.221347640893409,7.34557612683711,1.56223363801303,0.219936929675771,0.368461411148891,0.368461411148891
"yraP",-0.205024563880585,6.85716301483556,1.56224978015629,0.219934599786534,0.368461411148891,0.368461411148891
"hscB",0.361827532783157,6.73402773701974,1.57633473176066,0.220377414891294,0.369058710804621,0.369058710804621
"SL1344_3738",-0.216785868364915,6.61964397120635,1.5562535923359,0.220802170424839,0.369629223605328,0.369629223605328
"pqiB",-0.240830104597903,6.30791312836977,1.55352296487597,0.221198660832838,0.370011154117639,0.370011154117639
"gntU",-0.280471864656374,5.75200654566713,1.5538268510894,0.221154492605043,0.370011154117639,0.370011154117639
"yejE",-0.360918196329958,4.98386264929938,1.54851693278305,0.221927836027328,0.371089679412756,0.371089679412756
"yjgM",-0.275620148785247,5.32233133318967,1.54577911639457,0.222327884623853,0.37161725505949,0.37161725505949
"SL1344_1403",0.326677676787984,5.4069338351304,1.54345615555539,0.22266801599872,0.371894537930921,0.371894537930921
"yheR",-0.380045878698017,4.54516005061387,1.54291426441666,0.222747453302533,0.371894537930921,0.371894537930921
"StyR-44d",-0.176641651120757,12.1548911570748,1.54291346751542,0.222747570148343,0.371894537930921,0.371894537930921
"sdaB",-0.235832231263139,6.09769605013465,1.5402078503116,0.223144720519914,0.372416169857837,0.372416169857837
"lig",-0.162315323416652,7.97352265329514,1.53476517674684,0.223946300911422,0.373612120989226,0.373612120989226
"nadR",-0.181345590852995,7.36885283348306,1.53400427305999,0.224058649043072,0.373657747038446,0.373657747038446
"SL1344_4460",-0.394705753717907,4.62031956564512,1.53318313127757,0.224179969898083,0.373718296424716,0.373718296424716
"secE",-0.15697062242154,9.18902143446362,1.52981556014637,0.224678370928774,0.374407171570466,0.374407171570466
"wcaJ",0.504229411187766,4.03492005743866,1.52758758402608,0.225008868318507,0.374815833697672,0.374815833697672
"psiF",-0.652992743596757,3.71339076136484,1.52483156168763,0.225418532116895,0.375185130521585,0.375185130521585
"adhC",-0.206256322011931,6.58409840702118,1.52437420406208,0.225486604831217,0.375185130521585,0.375185130521585
"hyaC",0.750101385249191,3.52263512116975,1.52501250493639,0.225391607731329,0.375185130521585,0.375185130521585
"SL1344_0843",-0.227377277856,5.83566700058434,1.52368547223261,0.225589163298252,0.375213757797622,0.375213757797622
"rhtC",-0.256200346215299,6.03857913361249,1.52252920488819,0.225761472497962,0.375358333245476,0.375358333245476
"pitA",-0.169133668516244,8.91224602409159,1.52167894557322,0.22588828419145,0.375427182346169,0.375427182346169
"cobD",0.324186572039998,5.01340565028648,1.51729311169876,0.226543816815744,0.375948138437906,0.375948138437906
"fdnI",-0.238989319833401,6.95713293232752,1.51770640487369,0.226481942691365,0.375948138437906,0.375948138437906
"fdhE",-0.199306314383829,7.34116009596558,1.51826078518122,0.226398979416923,0.375948138437906,0.375948138437906
"exc",-0.19331899170901,6.99577808185774,1.51813674086703,0.226417539423806,0.375948138437906,0.375948138437906
"ard",0.597389374966839,3.73676267765672,1.51565352969634,0.226789485932864,0.37621380383429,0.37621380383429
"traK",0.69591644246357,3.38939433033775,1.51307954808813,0.227175831209155,0.376712543943963,0.376712543943963
"mrdA",-0.163143869769841,7.38571500599424,1.51165192460499,0.22739046544966,0.376784201325559,0.376784201325559
"yrdD",0.182475390129803,8.37770654654948,1.51172220875654,0.227379892762226,0.376784201325559,0.376784201325559
"cydB",-0.267285574945898,7.92213080799285,1.51369449462731,0.228425966696354,0.378214896270121,0.378214896270121
"recC",-0.171304689232339,7.00679052262333,1.50496808349375,0.228398703764771,0.378214896270121,0.378214896270121
"sciP",0.466113541791165,4.16248797461065,1.49512160333082,0.2298941859264,0.380502575802882,0.380502575802882
"SL1344_0148",0.341565256011657,5.34936654205118,1.49335493535047,0.230163797725695,0.380805440271793,0.380805440271793
"rumB",-0.169326653796764,6.96890528192209,1.49183950320317,0.230395382718442,0.380901881320148,0.380901881320148
"yibF",-0.288497971232029,5.66277026803848,1.49193949994968,0.230380092479715,0.380901881320148,0.380901881320148
"argH",0.172768120855322,6.99106128317895,1.48758407602628,0.231047244263384,0.381781237761271,0.381781237761271
"trpS2",0.355769350575319,4.74076764400098,1.48723400268205,0.231100972175328,0.381781237761271,0.381781237761271
"relE",-0.490351056275299,3.91536914063549,1.48425261550924,0.231559176807773,0.382394493330943,0.382394493330943
"fimF",0.39422938994413,5.03822480861971,1.48238690120014,0.231846492720178,0.382725190385994,0.382725190385994
"OmrB",-0.508921910462259,4.5389092361739,1.47651938683347,0.232752985097014,0.384077373305732,0.384077373305732
"pflD",0.270874845107946,6.202339003094,1.47205716815074,0.233445336147676,0.385075308707386,0.385075308707386
"SL1344_1546",-0.551081505361788,3.80260711068487,1.47009828883148,0.23375008642932,0.385433375822689,0.385433375822689
"sfbB",0.360516991566998,4.35059189149535,1.67490210781527,0.234203351993684,0.385641704982755,0.385641704982755
"SL1344_1770",-0.401321249252805,4.60474565032466,1.46703705192708,0.234227332189253,0.385641704982755,0.385641704982755
"yqcC",-0.289613810699756,5.3747554361373,1.46713849596434,0.23421149757373,0.385641704982755,0.385641704982755
"ecnR",-0.25505826542715,6.21363750940157,1.46798463591453,0.234079473971722,0.385641704982755,0.385641704982755
"SL1344_3061",-0.405152425037945,4.39854104996512,1.46311634475417,0.234840351923342,0.386506247493452,0.386506247493452
"SL1344_P3_0012",0.263395492277465,6.03731888689199,1.46104421053839,0.235165150719133,0.386895959042407,0.386895959042407
"SL1344_3106",0.42050436404073,4.85711824142136,1.45890771194703,0.235500627806709,0.387302940455777,0.387302940455777
"SL1344_2638",0.409988830829542,5.07655148508993,1.45537835750582,0.236056128460334,0.388071331604946,0.388071331604946
"acrE",0.253183229872136,6.64669011044982,1.45477283584862,0.236151599182524,0.388083151404253,0.388083151404253
"frwB",-0.528253847927661,3.61275424991245,1.46273909411086,0.236257147374659,0.388111517137145,0.388111517137145
"yfaZ",0.141504162746451,8.01218242054709,1.45294992777454,0.236439303834467,0.388265662927276,0.388265662927276
"yhhM",-0.624259873155639,3.65704711319623,1.45149637030119,0.236669029905616,0.388359539167144,0.388359539167144
"yiiG",0.599653515610426,3.497592894854,1.4514702624702,0.236673158650769,0.388359539167144,0.388359539167144
"yjcE",0.221865042476769,6.24792209019115,1.44964238330537,0.236962447880574,0.38868914958321,0.38868914958321
"aroD",-0.336927002388282,4.7526978053509,1.44639034128866,0.237478229812684,0.389389891181111,0.389389891181111
"stfA",0.690346140920252,3.30263192919822,1.44407433047834,0.237846414091376,0.389848186556932,0.389848186556932
"yjiG",-0.479697214014316,3.78398149277388,1.44292440634577,0.238029487753819,0.390002843147889,0.390002843147889
"yccA",0.262514740630998,7.26159305348817,1.44077294242368,0.23902976079086,0.391495837718562,0.391495837718562
"hemE",-0.1634028328163,7.07949074129465,1.43353268949554,0.23953134183382,0.392171239739841,0.392171239739841
"SL1344_1192",0.471135750232897,4.31235602791897,1.4319519839908,0.239785286265701,0.39244084825913,0.39244084825913
"SL1344_0559",0.248760268862838,5.81565700732263,1.43100286634741,0.239937927138763,0.392544520916264,0.392544520916264
"imm",-0.320819471979659,5.29449308228292,1.42990230914906,0.240115076157529,0.392688197465958,0.392688197465958
"ycjI",-0.246250241928241,5.61309553300318,1.42297735647874,0.241233520856294,0.394370605312112,0.394370605312112
"SL1344_3745",0.63250689485577,3.40110233516783,1.42108610044448,0.241540115807805,0.394725036836844,0.394725036836844
"yceJ",-0.471063507193271,3.90927598974426,1.41669920856278,0.242253174447217,0.395743201363793,0.395743201363793
"mrcA",-0.146397167385273,7.9233374483511,1.41572868459005,0.24241128445581,0.395854385760676,0.395854385760676
"nrdR",-0.201657501220412,6.61238702138417,1.41444869609287,0.24262000886269,0.39604810952855,0.39604810952855
"SL1344_0671",0.423189478798211,4.64581280845373,1.40885358350169,0.243535053637169,0.397103343676869,0.397103343676869
"ybgL",-0.278312006458914,5.32696916222132,1.40928288267708,0.243464690528426,0.397103343676869,0.397103343676869
"atpG",-0.212540854670893,8.89217101644999,1.40883898728781,0.243537446440591,0.397103343676869,0.397103343676869
"uvrD",-0.13877419216404,7.91835228893141,1.40822908964807,0.243637455400237,0.397119115290857,0.397119115290857
"ydcW",0.2715015133784,5.58301141956364,1.40755260276461,0.243748444049258,0.397152765026145,0.397152765026145
"yecC",0.261212694012533,5.20986199040852,1.40670382184743,0.243887790572682,0.397232577753802,0.397232577753802
"priC",-0.332420441235621,4.75633755129711,1.40349544439809,0.244415427088993,0.397944524993783,0.397944524993783
"SL1344_3100",-0.221621809437623,5.82386754385188,1.40274755253239,0.244538629314692,0.397997709910176,0.397997709910176
"slyA",-0.192357235890902,7.10741372201172,1.40005892628772,0.244982182010897,0.398277245606472,0.398277245606472
"yebG",-0.294070529439308,5.64490765304698,1.40021978250331,0.244955616403231,0.398277245606472,0.398277245606472
"SL1344_3427",-0.372565492093254,4.39192003156367,1.40007553255165,0.244979439296963,0.398277245606472,0.398277245606472
"sodCb",-0.432823510358337,4.32599194275482,1.39780093596834,0.245355476314075,0.398648197201818,0.398648197201818
"SL1344_4133",0.377194541209297,4.38721823309028,1.39758190736301,0.245391724665177,0.398648197201818,0.398648197201818
"dppC",-0.361851233127289,4.78891630087738,1.3964410186418,0.24558064659541,0.398660458801116,0.398660458801116
"mobC",0.190160127499908,6.53557163623605,1.39697469893409,0.245492250595377,0.398660458801116,0.398660458801116
"sciR",0.800446232884782,3.17025725467937,1.39585993880524,0.245676939346884,0.398669555322592,0.398669555322592
"yfiD",0.499999342952567,3.89178438893228,1.39429967076368,0.24593573293213,0.398795648026613,0.398795648026613
"rumA",0.162443182841424,7.95319144559636,1.39429758774161,0.245936078662454,0.398795648026613,0.398795648026613
"yccW",0.167151620894992,6.95547986080788,1.39274092544895,0.246194618103076,0.399067677426668,0.399067677426668
"SL1344_2301",-0.302874955376537,5.08428122672605,1.39211019664793,0.24629947098124,0.399090480808526,0.399090480808526
"tlpA",-0.185418815096489,6.93900038860956,1.39136889027423,0.246422778552907,0.399143159365725,0.399143159365725
"SL1344_2699",0.507341470377062,4.04447574412559,1.38873954506818,0.246860769103582,0.399705318961085,0.399705318961085
"ydcI",0.397013507298688,4.77004007103889,1.38645099784907,0.247242792084494,0.400176477909954,0.400176477909954
"aceE",-0.226642265240386,9.81248675496979,1.37956705500589,0.248841766230826,0.402524955499632,0.402524955499632
"gmd",0.512079703039825,4.00287864796693,1.37671202070626,0.248876894687898,0.402524955499632,0.402524955499632
