"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"artJ",-0.282525496325523,4.28292995632691,0.427228342733215,0.517781221039169,0.802031799749185,0.802031799749185
"hypA",0.487021721199917,3.78577600604421,0.428977170516254,0.5169309590327,0.802031799749185,0.802031799749185
"SL1344_2551",0.499243559225205,3.73073581710885,0.428279042281454,0.517270082915849,0.802031799749185,0.802031799749185
"yjfL",0.290562898239036,4.21705261337999,0.427905979028989,0.517451465409063,0.802031799749185,0.802031799749185
"actP",-0.228573693630841,4.52908033026425,0.426626186643889,0.518074560938341,0.802203511759404,0.802203511759404
"galE",0.203001148737379,5.04945726422919,0.425462462196715,0.518642310507512,0.80227082967448,0.80227082967448
"sseI",0.316117331568648,4.11626182452339,0.424512614425205,0.519106540556475,0.80227082967448,0.80227082967448
"yfaZ",0.0774212853293957,8.01218242054709,0.425334376080321,0.518704868189438,0.80227082967448,0.80227082967448
"gpJ",0.431689903024946,3.61346034399772,0.423922074083658,0.519395537136845,0.80227082967448,0.80227082967448
"fucO",0.263795543190818,4.77457135183851,0.42411292297411,0.519302108677262,0.80227082967448,0.80227082967448
"SL1344_3009",0.20174438133362,5.07023777866809,0.424281181866288,0.519219763912502,0.80227082967448,0.80227082967448
"yhdA",-0.0931152578809633,7.27148187244077,0.424611049457807,0.519058396746149,0.80227082967448,0.80227082967448
"cyoA",0.0921304179169314,8.86490652241346,0.421403432020034,0.520631344258446,0.802300491807751,0.802300491807751
"SL1344_0786",0.649929752862716,3.50283899555005,0.422249963354783,0.520539211555052,0.802300491807751,0.802300491807751
"rhlE",-0.11041084646192,6.51094210627826,0.42094346859121,0.520857601391254,0.802300491807751,0.802300491807751
"maf-a",-0.154324962467238,5.38126241095496,0.420878172543649,0.52088973498454,0.802300491807751,0.802300491807751
"argDa",0.405854827010021,4.07973758690879,0.421487963063352,0.520745374759637,0.802300491807751,0.802300491807751
"ydhO",-0.109714753193968,6.53758076948804,0.421900184614637,0.520387188483518,0.802300491807751,0.802300491807751
"tpx",-0.0887936770054463,9.14351544812997,0.420167282207412,0.521239809964271,0.802300491807751,0.802300491807751
"yecC",-0.152832063357284,5.20986199040852,0.421402372087125,0.52063186543923,0.802300491807751,0.802300491807751
"panF",-0.106708789681253,6.73413564971852,0.420501458874973,0.521075193441276,0.802300491807751,0.802300491807751
"yieN",0.0888240163156176,7.24431396297624,0.421411715847101,0.520627271040925,0.802300491807751,0.802300491807751
"yfcE",0.0799524392061258,7.11096781715703,0.419355471031698,0.521640100325847,0.802354751935768,0.802354751935768
"glgP",0.133317761239623,7.24321873973318,0.419650492684042,0.521494566242965,0.802354751935768,0.802354751935768
"aroE",0.277959221236551,4.911007947352,0.418476564528616,0.522074097836799,0.802741425005446,0.802741425005446
"osmE",0.131367056354834,6.63354655711249,0.417527668221111,0.522543385787064,0.803182071300676,0.803182071300676
"yjdC",-0.131056745761479,5.622810928863,0.4167783221834,0.522914520956853,0.803471595290572,0.803471595290572
"ybdL",-0.149375153279648,5.11418312017247,0.410724296653122,0.525930491430879,0.803787709861455,0.803787709861455
"yliJ",-0.149201526506674,5.80804971587251,0.409152735723603,0.526718558076186,0.803787709861455,0.803787709861455
"ycbB",0.101356099172899,6.9643533250987,0.415494627664248,0.523551412954934,0.803787709861455,0.803787709861455
"pipC",-0.529278903706429,4.46590539869513,0.414662467528993,0.526264796395206,0.803787709861455,0.803787709861455
"sapC",0.173226448334943,5.97166144590438,0.411380326786345,0.525602154243298,0.803787709861455,0.803787709861455
"kdsA",-0.125117749407595,6.77104994460482,0.409800992717276,0.526393227135243,0.803787709861455,0.803787709861455
"ychM",-0.132214680826727,6.12655118430408,0.410082817426102,0.526251905716762,0.803787709861455,0.803787709861455
"SL1344_1807",-0.183273413147802,5.52918746420224,0.408764803147487,0.526913418548157,0.803787709861455,0.803787709861455
"SL1344_1951",0.284314374724156,3.84181873495944,0.411410429183746,0.525587097176127,0.803787709861455,0.803787709861455
"SL1344_2327",0.20145950947568,4.92307962507276,0.40879863905289,0.52689641739322,0.803787709861455,0.803787709861455
"nupC",-0.129495914473714,6.10545649203143,0.415161574116256,0.523716882769448,0.803787709861455,0.803787709861455
"cysZ",0.179535781045879,5.05350735615762,0.415048656424059,0.523773004695056,0.803787709861455,0.803787709861455
"emrB",-0.105543738861167,6.94832426563616,0.408766107353591,0.526912763219612,0.803787709861455,0.803787709861455
"aroK",-0.101575941069804,8.40984660122936,0.410250398561803,0.526167904531257,0.803787709861455,0.803787709861455
"rtcA",0.210000358797345,5.29987970615073,0.413751808210363,0.524418338816582,0.803787709861455,0.803787709861455
"yhiR",-0.0963199889001414,6.58415452427185,0.408676385312898,0.526957849587764,0.803787709861455,0.803787709861455
"yhjU",-0.0871575649551635,6.72878943537504,0.414842372421061,0.523875559232379,0.803787709861455,0.803787709861455
"rfaI",0.133332085561738,6.36163434827423,0.412706752969275,0.524939422830181,0.803787709861455,0.803787709861455
"yhjA",0.443029969169678,3.50274481552593,0.4086720973611,0.526960004508807,0.803787709861455,0.803787709861455
"SL1344_4375",-0.260197208462047,3.77668159696074,0.467494416300466,0.525218561239136,0.803787709861455,0.803787709861455
"StyR-55",-0.0953965153370094,10.1249919701398,0.410349422699412,0.526118279436826,0.803787709861455,0.803787709861455
"SL1344_1756",0.216705336686123,6.1103211280037,0.41000377327127,0.52747927147837,0.804300685889321,0.804300685889321
"yedI",0.164001991739773,6.11471072214366,0.406388198370427,0.528110064335837,0.804418993580221,0.804418993580221
"yibK",0.104765131223847,6.60443455609922,0.406034028698044,0.528288815847611,0.804418993580221,0.804418993580221
"recQ",-0.0812527994669584,8.42420005021108,0.406743905360864,0.527930647710013,0.804418993580221,0.804418993580221
"glpX",-0.101768355220393,6.38382591106437,0.40614391669923,0.528233342943682,0.804418993580221,0.804418993580221
"invI",-0.301877977789212,4.00395212725529,0.405344264151115,0.528637260482514,0.804670843864658,0.804670843864658
"SL1344_2309",0.249003635550169,4.04861442489529,0.404747307359231,0.528939160105122,0.804851695334758,0.804851695334758
"SL1344_P1_0077",-0.186416930080066,5.2447850675519,0.403428224037021,0.529607377722843,0.805589630612324,0.805589630612324
"SL1344_2490",-0.47121238703224,3.03042973190793,0.40255366038585,0.530051261781293,0.805902822596797,0.805902822596797
"ygaU",-0.233601179072261,3.85778777122712,0.40230040574308,0.530179927877602,0.805902822596797,0.805902822596797
"thiD",-0.177149452118791,5.08227400497576,0.41469037965443,0.530487055058326,0.806090941595715,0.806090941595715
"aidB",-0.217860963361587,4.70707767335591,0.520584638775387,0.530879928311906,0.806409179287886,0.806409179287886
"dcuS",-0.137713251885395,5.86797567998316,0.399731170330701,0.531488464847148,0.807054677536463,0.807054677536463
"sthE",-0.183068985540591,4.98386148791709,0.39934520636992,0.53168555104307,0.807075166569522,0.807075166569522
"SL1344_0431",0.170919104392542,4.83313180088199,0.397514433739323,0.53262223347146,0.808217928319137,0.808217928319137
"yaaI",0.304168399631074,3.64266427544314,0.395980415794869,0.533409422300752,0.808848843748609,0.808848843748609
"res",-0.108040825109172,7.13238355879985,0.394887859565345,0.533971378346357,0.808848843748609,0.808848843748609
"apbA",-0.143973268593479,5.6531166939477,0.395251931144053,0.533783997234698,0.808848843748609,0.808848843748609
"purE",0.161360948444103,5.29987964596302,0.396196970557809,0.533298166576555,0.808848843748609,0.808848843748609
"SL1344_4053",0.229333523931865,4.52085736044088,0.394556572296428,0.534141991219794,0.808848843748609,0.808848843748609
"repA3",-0.130820755952823,10.2814185485514,0.396071021223487,0.533732470113364,0.808848843748609,0.808848843748609
"SL1344_4441",0.2157334885214,4.13062785933377,0.393649147807742,0.534609829223148,0.809278515587107,0.809278515587107
"scsA",0.113562427903198,6.92347264808162,0.392026490390797,0.53544830357066,0.809989932036002,0.809989932036002
"fliQ",-0.290510626036825,3.68635469879199,0.494602568086933,0.535416853566715,0.809989932036002,0.809989932036002
"ansA",-0.156930459289891,5.41914616133088,0.39163819449831,0.535649307328538,0.810015258003527,0.810015258003527
"ydcF",0.162543362261109,5.23756062342722,0.390168624994647,0.536411302938674,0.810609861711383,0.810609861711383
"sicP",-0.166502524791104,5.68777468823726,0.390316983047349,0.536334285956197,0.810609861711383,0.810609861711383
"yfbS",-0.116039455575274,6.08044483469012,0.389154448214733,0.536938340192943,0.811127471989064,0.811127471989064
"cspB",-0.261470753472732,3.5869841551575,0.388673739953784,0.53718848487854,0.811226581767799,0.811226581767799
"fimI",0.227349417205251,4.00921985398105,0.386460465537337,0.538342992063755,0.812199405451671,0.812199405451671
"ttrA",-0.239107505951519,4.75119250875982,0.386376353658559,0.538386958026881,0.812199405451671,0.812199405451671
"gpF",0.18906479242122,4.31236833343308,0.386707724117676,0.538213786586655,0.812199405451671,0.812199405451671
"SroA",-0.192580157901681,7.64128834830729,0.389710609361001,0.538642601713661,0.812306304333878,0.812306304333878
"ygiH",-0.121208500559133,6.4221219029429,0.385285350993409,0.53895783893635,0.812502969809395,0.812502969809395
"murQ",0.221949205359337,4.14393318317263,0.384721447337432,0.539253349916968,0.812669772449432,0.812669772449432
"sdaC",-0.125774430382665,6.06579143777847,0.383252603089004,0.540024507923887,0.813511274963891,0.813511274963891
"gpmB",-0.101317843693644,6.451665155463,0.382953389747893,0.540181849776978,0.813511274963891,0.813511274963891
"rpmC",0.114071845349865,9.73012522877904,0.382540147667942,0.540447696743388,0.813632902357512,0.813632902357512
"celD",0.228815813818387,4.1765948593157,0.380671302798831,0.541384707448973,0.813650315878866,0.813650315878866
"hilA",-0.247289295952659,5.40413635321404,0.382454400221085,0.540931138887157,0.813650315878866,0.813650315878866
"yraR",0.15363389279387,5.11778234449385,0.380874413544262,0.541277447859643,0.813650315878866,0.813650315878866
"SL1344_3960",-0.232088986548096,5.02664670855209,0.380710564988501,0.541363970608873,0.813650315878866,0.813650315878866
"ycjA",-0.146827582695297,5.42986866528392,0.381718741289225,0.54083199666871,0.813650315878866,0.813650315878866
"SL1344_0834",0.175600191054807,5.08691707734203,0.38026259282363,0.541600661144629,0.813696687078533,0.813696687078533
"mraW",0.0771284993857311,8.58610366363077,0.379807912495703,0.541841093848996,0.813779791103583,0.813779791103583
"yjfM",0.371960945404691,4.34190264499793,0.379001426399593,0.542268051048048,0.814142879920498,0.814142879920498
"frdC",0.389087077121129,3.88216892678756,0.378521863745231,0.542522232156846,0.814246409205017,0.814246409205017
"SL1344_0986",0.317324885865874,4.10337818216654,0.377353574904885,0.543142391561966,0.814663468624702,0.814663468624702
"hemY",-0.0864161322490243,7.05003134065905,0.376951612455856,0.543356071430307,0.814663468624702,0.814663468624702
"trkH",0.0827102879034907,9.14176331384254,0.377164006372119,0.54324314496898,0.814663468624702,0.814663468624702
"SL1344_0739",0.255451470808236,4.46163364417303,0.375922860196174,0.543903666430668,0.815206449924724,0.815206449924724
"SL1344_P2_0016",0.324694564409315,3.81893883201698,0.374483100269162,0.544671779135483,0.815937045740559,0.815937045740559
"CyaR",-0.227067468030372,4.02000411161657,0.374313610737081,0.544762336043799,0.815937045740559,0.815937045740559
"ybbJ",-0.145469261021528,5.24954177550366,0.372885606970546,0.545526433408272,0.816803202064974,0.816803202064974
"SL1344_0327",0.173080457872304,4.98922487113034,0.371331064627619,0.546360537476593,0.816812649274023,0.816812649274023
"SL1344_0336",-0.161288752177119,4.94531907505845,0.375859429395227,0.546569324059702,0.816812649274023,0.816812649274023
