"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"yiiQ",-0.0815756163250462,5.85801209835958,0.101904476910143,0.751523688700448,0.999366524090095,0.999366524090095
"yiiR",0.00382088394352379,5.71709009985435,0.00028514694883474,0.986626765829125,0.999366524090095,0.999366524090095
"fpr",0.0867558742917634,7.17448655895508,0.300004485749365,0.58748426243941,0.999366524090095,0.999366524090095
"glpX",-0.0712214569266104,6.38382591106437,0.206903768609418,0.652117784062293,0.999366524090095,0.999366524090095
"glpF",0.304978702754211,5.61407732822508,0.712308707589093,0.405060200743767,0.999366524090095,0.999366524090095
"yiiU",-0.0739332933255712,8.27540664699719,0.14145253044037,0.709391690989559,0.999366524090095,0.999366524090095
"menG",-0.079671948248244,7.595880246675,0.313409453382343,0.579292729015652,0.999366524090095,0.999366524090095
"menA",-0.0691477339887839,7.00742065237719,0.243164380350063,0.625123499446311,0.999366524090095,0.999366524090095
"hslU",0.00860382649303728,9.04309806523977,0.00298064113918621,0.956782852955623,0.999366524090095,0.999366524090095
"ftsN",-0.131431601156601,8.1314537552841,0.779490516603235,0.383543037343925,0.999366524090095,0.999366524090095
"cytR",0.274168152057447,5.99776325721322,1.52428783976092,0.225499462086993,0.999366524090095,0.999366524090095
"priA",-0.0423187624837451,7.71828893205029,0.0725827830104284,0.789253158082675,0.999366524090095,0.999366524090095
"rpmE",-0.230147099714512,9.61315565071778,1.03212741143422,0.31835703112245,0.999366524090095,0.999366524090095
"SL1344_4046",0.107838987953313,5.64724036417137,0.268764223642143,0.60754463530541,0.999366524090095,0.999366524090095
"SL1344_4047",0.108339830577088,5.22268079128724,0.099466586970587,0.754412735085465,0.999366524090095,0.999366524090095
"metJ",-0.075837444687031,7.62711160875883,0.225348605856324,0.63805206641029,0.999366524090095,0.999366524090095
"metB",0.0343764775118748,6.59219611618518,0.0463645755124733,0.830810484061263,0.999366524090095,0.999366524090095
"metL",-0.0872250760731672,8.13987005566546,0.201535922012075,0.6565095652426,0.999366524090095,0.999366524090095
"SL1344_4051",0.0112612910982101,4.9253580076144,0.00173143121635657,0.967054436822069,0.999366524090095,0.999366524090095
"SL1344_4052",0.169743004760394,3.61601248091261,0.112002109558384,0.739947348221037,0.999366524090095,0.999366524090095
"SL1344_4053",0.279362556653895,4.52085736044088,0.625926150384368,0.434378869014093,0.999366524090095,0.999366524090095
"metF",-0.0954185473866003,5.62544278723628,0.189109177222489,0.666427352022828,0.999366524090095,0.999366524090095
"katG",-0.244718432665239,7.63741230818959,0.455651270636908,0.506773276289885,0.999366524090095,0.999366524090095
"yijF",0.107658372873259,4.09338867788759,0.0788067493142027,0.780634901730592,0.999366524090095,0.999366524090095
"gldA",0.26426326457355,5.57593934593478,1.43652121624919,0.239052150420153,0.999366524090095,0.999366524090095
"talC",0.539865095164267,3.81759334332304,2.53631093680659,0.133091733882497,0.999366524090095,0.999366524090095
"ptsA",-0.03808230810486,5.64233244460757,0.0138799304622985,0.906914151739489,0.999366524090095,0.999366524090095
"frwC",0.345480585060692,4.67010480962637,0.219700705170174,0.642490044382855,0.999366524090095,0.999366524090095
"frwB",0.587527404399339,3.61275424991245,2.35653485803534,0.134082099934971,0.999366524090095,0.999366524090095
"pflD",0.00804420211706581,6.202339003094,0.00123626802879919,0.97215882706622,0.999366524090095,0.999366524090095
