"","S1","S11","S21","genename"
"SL1344_0749",600,459,517,"gpmA"
"SL1344_4347",559,517,500,"ppa"
"SL1344_3313",488,561,508,"sspB"
"SL1344_4325",523,538,477,"priB"
"SL1344_2807",515,531,481,"alaS"
"SL1344_2347",543,514,465,"fabB"
"SL1344_0243",482,550,488,"proS"
"SL1344_4086",497,495,522,"secE"
"SL1344_3346",471,546,494,"mreB"
"SL1344_2306",472,535,498,"ackA"
"SL1344_0443",492,496,513,"clpX"
"SL1344_0248",498,493,491,"abc"
"SL1344_1612",511,466,489,"tpx"
"SL1344_4040",513,483,468,"hslU"
"SL1344_3420",482,507,472,"fkpA"
"SL1344_3809",441,532,484,"yidC"
"SL1344_3841",511,469,477,"gidA"
"SL1344_0884",475,393,583,"clpA"
"SL1344_0007",440,491,502,"talB"
"SL1344_2461",459,461,496,"upp"
"SL1344_3453",471,480,464,"aroB"
"SL1344_4389",523,439,448,"yjgF"
"SL1344_3422",463,465,480,"slyD"
"SL1344_0047",443,504,457,"ileS"
"SL1344_0446",373,567,455,"cypD"
"SL1344_1708",486,455,449,"prs"
"SL1344_0227",461,472,443,"lpxD"
"SL1344_0141",436,466,463,"guaC"
"SL1344_3707",438,402,516,"rpoZ"
"SL1344_3405",428,511,415,"rplW"
"SL1344_3802",418,475,459,"gyrB"
"SL1344_3274",462,451,437,"yhbE"
"SL1344_0403",400,499,447,"secF"
"SL1344_1272",457,431,453,"pheT"
"InvR",809,185,346,"InvR"
"SL1344_4011",461,500,374,"pfkA"
"SL1344_2176",540,315,473,"cirA"
"SL1344_0429",429,433,462,"yajQ"
"SL1344_2335",429,457,434,"accD"
"SL1344_P1_0072",455,422,433,"SL1344_P1_0072"
"SL1344_0468",408,526,375,"acrB"
"SL1344_3374",453,415,440,"fmt"
"SL1344_0675",442,422,434,"fur"
"SL1344_3253",414,433,451,"deaD"
"SL1344_0879",432,416,448,"ybjX"
"SL1344_2451",417,467,412,"nlpB"
"SL1344_0226",360,504,417,"hlpA"
"SL1344_3054",387,498,396,"speB"
"SL1344_3947",395,437,445,"polA"
"SL1344_2067",390,443,412,"rfbH"
"SL1344_2396",414,456,372,"crr"
"SL1344_2246",357,462,414,"nrdA"
"SL1344_4079",411,415,405,"btuB"
"SL1344_3554",388,439,396,"pitA"
"SL1344_0232",425,408,378,"dnaE"
"SL1344_1775",386,393,426,"proQ"
"SL1344_4296",407,397,399,"hflX"
"SL1344_0931",409,388,400,"mukB"
"SL1344_0246",353,460,382,"metQ"
"SL1344_1007",395,399,397,"fabA"
"SL1344_0937",380,409,399,"asnCa"
"SL1344_0185",383,395,405,"pcnB"
"SL1344_3377",398,379,383,"mscL"
"SL1344_4497",386,400,370,"deoD"
"SL1344_2391",389,363,399,"zipA"
"SL1344_4078",425,372,351,"trmA"
"SL1344_1767",485,324,322,"yobF"
"SL1344_3939",358,377,396,"trkH"
"SL1344_2482",366,392,370,"yfgL"
"SL1344_3833",351,444,326,"atpG"
"SL1344_4172",377,398,344,"plsB"
"SL1344_1651",370,376,364,"yciL"
"SL1344_0094",355,379,373,"imp"
"SL1344_1381",343,401,359,"tyrS"
"SL1344_0481",356,371,367,"adk"
"SL1344_0224",346,376,363,"yaeL"
"SL1344_3052",348,358,375,"tktA"
"SL1344_3368",345,360,376,"SL1344_3368"
"SL1344_3411",474,233,372,"bfd"
"SL1344_3372",330,351,396,"dprA"
"SL1344_1885",439,318,318,"fliA"
"SL1344_0436",334,453,286,"cyoB"
"SraG",381,315,376,"SraG"
"SL1344_2190",355,378,331,"yeiU"
"SL1344_3775",388,356,320,"hslS"
"SL1344_3894",346,360,354,"cyaA"
"SL1344_4326",360,352,348,"rpsR"
"SL1344_3667",327,357,375,"secB"
"SL1344_0136",299,421,338,"secA"
"SL1344_1093",312,371,371,"yceA"
"SL1344_1122",330,389,335,"rne"
"SL1344_2488",380,352,321,"ndk"
"SL1344_3861",309,334,391,"ilvG"
"SL1344_3836",329,391,311,"atpF"
"SL1344_0898",352,343,334,"ftsK"
"SL1344_0896",371,349,296,"trxB"
"SL1344_3017",336,354,323,"prfB"
"SL1344_4298",318,395,300,"hflC"
"SL1344_2594",340,317,355,"SL1344_2594"
"SL1344_0402",310,389,312,"secD"
"SL1344_1646",323,330,355,"topA"
"SL1344_3831",339,342,320,"atpC"
"SL1344_3835",314,407,280,"atpH"
"SL1344_4343",332,347,322,"ytfN"
"SL1344_0229",298,383,319,"lpxA"
"SL1344_1267",344,323,328,"thrS"
"SL1344_2505",382,267,345,"iscS"
"SL1344_1362A",385,314,286,"ynhF"
"SL1344_3932",346,314,317,"yigC"
"SL1344_P1_0056",318,316,339,"samB2"
"SL1344_0573",437,196,335,"fepA"
"SL1344_3544",345,290,329,"yhhQ"
"SL1344_0659",273,367,323,"miaB"
"SL1344_2621",300,322,341,"yfiH"
"SL1344_0730",300,368,294,"tolB"
"SL1344_1169",327,320,314,"phoP"
"SL1344_3082",317,336,306,"yggN"
"SL1344_1221",332,325,299,"mipA"
"SL1344_4123",285,328,338,"metH"
"SL1344_0574",451,155,343,"fes"
"SL1344_0529",325,285,336,"ppiB"
"SL1344_1889",381,242,323,"fliD"
"SL1344_1774",295,318,329,"prc"
"SL1344_3620",305,347,288,"glyS"
"SL1344_4197",379,268,293,"siiE"
"SL1344_4488",302,295,343,"prfC"
"SL1344_0917",324,267,348,"cmk"
"SL1344_3448",308,312,319,"trpS"
"SL1344_4227",308,337,293,"proP"
"SL1344_3839",328,293,314,"atpI"
"SL1344_1683",341,309,284,"galU"
"SL1344_3837",305,345,283,"atpE"
"SL1344_4192",348,299,282,"ssb"
"SL1344_4083",294,338,296,"coaA"
"SL1344_0676",282,312,321,"fldA"
"SL1344_0668",304,310,300,"glnS"
"SL1344_3452",309,300,305,"damX"
"SL1344_3828",309,298,306,"glmS"
"SL1344_1262",298,286,328,"ydiY"
"SL1344_2612",255,321,333,"yfiF"
"SL1344_1591",300,295,313,"fnr"
"SL1344_2613",278,276,350,"trxC"
"SL1344_3613",275,324,305,"yiaF"
"SL1344_3465",326,311,266,"hslO"
"SL1344_1172",315,297,290,"mnmA"
