"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"menB",-0.388477270180802,4.61136818593319,1.93573174404634,0.200210892905148,0.992378856146764,0.992378856146764
"nuoN",0.332169576743445,6.90215985544814,1.70768888165144,0.201875973484775,0.992378856146764,0.992378856146764
"nuoK",0.493844513318127,4.03219768018718,1.78328882536899,0.190683697609475,0.992378856146764,0.992378856146764
"yfbT",0.321064803519326,6.41977825924587,2.06538063591028,0.159884798060783,0.992378856146764,0.992378856146764
"yfcE",-0.177614310465367,7.11096781715703,2.04999513455991,0.16140372578317,0.992378856146764,0.992378856146764
"cvpA",-0.239764466448927,6.14774388992528,1.88127831537486,0.17923978073764,0.992378856146764,0.992378856146764
"folC",-0.240936773309713,7.29903235832167,2.34186466319814,0.135259456955532,0.992378856146764,0.992378856146764
"pdxB",-0.182953503343285,7.24774369936119,1.87362331026544,0.180103459249671,0.992378856146764,0.992378856146764
"SL1344_2341",-0.189060076769696,6.81932582736748,1.68245104700642,0.203397031253011,0.992378856146764,0.992378856146764
"yfcA",-0.29900311795809,5.82209433529184,2.10983520216801,0.15559017421917,0.992378856146764,0.992378856146764
"SL1344_2368",0.447204755599575,4.74904700820574,2.11991870699832,0.154635092529384,0.992378856146764,0.992378856146764
"mntH",-0.37182550308811,5.98814173899055,1.82023891007274,0.186839379812156,0.992378856146764,0.992378856146764
"yfeC",-0.681775146366263,3.87111345432279,2.34311068650975,0.135158990592774,0.992378856146764,0.992378856146764
"eutA",0.843549057611511,4.64935602625181,1.99091464053249,0.167692027079467,0.992378856146764,0.992378856146764
"upp",-0.178123229831281,8.97455487092243,2.43609977194202,0.127900473524949,0.992378856146764,0.992378856146764
"ppx",0.330670609262,5.78950497011955,1.90015939299134,0.177130674527368,0.992378856146764,0.992378856146764
"yfgB",-0.195441916259077,7.79946365928317,2.05443572535233,0.160963581362382,0.992378856146764,0.992378856146764
"sseBb",0.250901362604198,6.41864587845462,1.77657782425904,0.191499262704657,0.992378856146764,0.992378856146764
"SL1344_2514",0.509653105385422,4.25067028386957,1.79908681260869,0.188780353401009,0.992378856146764,0.992378856146764
